AccerlerometerX,AccerlerometerY,AccerlerometerZ,UtcTicks
-0.0546,-0.9963,0.0665,635740559729814836
-0.0546,-0.9963,0.0665,635740559730009022
-0.0630,-0.9958,0.0665,635740559730213168
-0.0630,-0.9972,0.0413,635740559730407304
-0.0630,-0.9972,0.0413,635740559730611552
-0.0630,-0.9975,0.0329,635740559730818910
-0.0630,-0.9979,0.0161,635740559731013113
-0.0630,-0.9979,0.0161,635740559731207365
-0.0798,-0.9968,0.0077,635740559731407577
-0.0798,-0.9968,-0.0091,635740559731611686
-0.0798,-0.9968,-0.0091,635740559731815763
-0.0882,-0.9955,-0.0343,635740559732006300
-0.0882,-0.9952,-0.0427,635740559732210629
-0.0882,-0.9952,-0.0427,635740559732404783
-0.0882,-0.9943,-0.0595,635740559732608976
-0.0882,-0.9943,-0.0595,635740559732815215
-0.0882,-0.9943,-0.0595,635740559733009449
-0.0881,-0.9938,-0.0679,635740559733279891
-0.0881,-0.9938,-0.0679,635740559733415632
-0.0881,-0.9938,-0.0679,635740559733609831
-0.0881,-0.9925,-0.0846,635740559733814565
-0.0881,-0.9925,-0.0846,635740559734008985
-0.0881,-0.9925,-0.0846,635740559734213721
-0.0881,-0.9925,-0.0846,635740559734409416
-0.0881,-0.9925,-0.0846,635740559734613556
-0.0881,-0.9925,-0.0846,635740559734808164
-0.0881,-0.9925,-0.0846,635740559735012433
-0.0881,-0.9925,-0.0846,635740559735217025
-0.0881,-0.9925,-0.0846,635740559735416737
-0.0881,-0.9925,-0.0846,635740559735616500
-0.0881,-0.9925,-0.0846,635740559735810758
-0.0881,-0.9925,-0.0846,635740559736015022
-0.0881,-0.9925,-0.0846,635740559736209273
-0.0881,-0.9925,-0.0846,635740559736413540
-0.0881,-0.9925,-0.0846,635740559736607239
-0.0881,-0.9925,-0.0846,635740559736811299
-0.0881,-0.9918,-0.0930,635740559737011449
-0.0881,-0.9918,-0.0930,635740559737215555
-0.0881,-0.9918,-0.0930,635740559737410571
-0.0881,-0.9918,-0.0930,635740559737614739
-0.0881,-0.9918,-0.0930,635740559737808981
-0.0797,-0.9925,-0.0930,635740559738013277
-0.0797,-0.9908,-0.1097,635740559738213208
-0.0797,-0.9908,-0.1097,635740559738407379
-0.0797,-0.9908,-0.1097,635740559738614895
-0.0797,-0.9908,-0.1097,635740559738808988
-0.0797,-0.9908,-0.1097,635740559739013183
-0.0797,-0.9908,-0.1097,635740559739205418
-0.0797,-0.9908,-0.1097,635740559739409549
-0.0797,-0.9908,-0.1097,635740559739613801
-0.0797,-0.9908,-0.1097,635740559739803822
-0.0797,-0.9908,-0.1097,635740559740008089
-0.0797,-0.9908,-0.1097,635740559740212329
-0.0461,-0.9919,-0.1182,635740559740417527
-0.0461,-0.9919,-0.1182,635740559740611756
-0.0461,-0.9919,-0.1182,635740559740821466
-0.0462,-0.9929,-0.1098,635740559741015646
-0.0462,-0.9929,-0.1098,635740559741209483
-0.0462,-0.9929,-0.1098,635740559741413747
-0.0462,-0.9929,-0.1098,635740559741604573
-0.0462,-0.9929,-0.1098,635740559741808714
-0.0546,-0.9949,-0.0847,635740559742014026
-0.0630,-0.9967,-0.0511,635740559742208358
-0.0630,-0.9967,-0.0511,635740559742412586
-0.0630,-0.9967,-0.0511,635740559742611669
-0.0630,-0.9967,-0.0511,635740559742815935
-0.0630,-0.9967,-0.0511,635740559743006556
-0.0630,-0.9967,-0.0511,635740559743210703
-0.0630,-0.9967,-0.0511,635740559743414953
-0.0630,-0.9967,-0.0511,635740559743609386
-0.0630,-0.9967,-0.0511,635740559743813520
-0.0630,-0.9967,-0.0511,635740559744010911
-0.0630,-0.9977,-0.0259,635740559744215091
-0.0630,-0.9977,-0.0259,635740559744406970
-0.0797,-0.9900,0.1167,635740559744609964
-0.0796,-0.9867,0.1417,635740559744814129
-0.0796,-0.9867,0.1417,635740559745008267
-0.0796,-0.9867,0.1417,635740559745212402
-0.0796,-0.9867,0.1417,635740559745416491
-0.0796,-0.9867,0.1417,635740559745610584
-0.0796,-0.9867,0.1417,635740559745810784
-0.0796,-0.9867,0.1417,635740559746024938
-0.0796,-0.9867,0.1417,635740559746206309
-0.0879,-0.9860,0.1416,635740559746416136
-0.1129,-0.9835,0.1415,635740559746610417
-0.1129,-0.9835,0.1415,635740559746814667
-0.1628,-0.9777,0.1329,635740559747006234
-0.1628,-0.9777,0.1329,635740559747210293
-0.1876,-0.9732,0.1327,635740559747410428
-0.1876,-0.9732,0.1327,635740559747614678
-0.1876,-0.9732,0.1327,635740559747808941
-0.1876,-0.9732,0.1327,635740559748013190
-0.1876,-0.9732,0.1327,635740559748207441
-0.1876,-0.9732,0.1327,635740559748411596
-0.1876,-0.9732,0.1327,635740559748615772
-0.1876,-0.9732,0.1327,635740559748810037
-0.1876,-0.9732,0.1327,635740559749014309
-0.2042,-0.9720,0.1160,635740559749210406
-0.2127,-0.9749,0.0660,635740559749475655
-0.2127,-0.9749,0.0660,635740559749608561
-0.2128,-0.9765,0.0327,635740559749811666
-0.2128,-0.9765,0.0327,635740559750015932
-0.2129,-0.9769,0.0160,635740559750210242
-0.2129,-0.9769,0.0160,635740559750414509
-0.2129,-0.9769,0.0160,635740559750608765
-0.2129,-0.9769,0.0160,635740559750817148
-0.2046,-0.9788,0.0077,635740559751011733
-0.2046,-0.9788,0.0077,635740559751216297
-0.1799,-0.9836,-0.0091,635740559751415916
-0.1550,-0.9879,-0.0091,635740559751607489
-0.1550,-0.9879,-0.0091,635740559751810104
-0.1217,-0.9924,0.0161,635740559752014473
-0.1217,-0.9924,0.0161,635740559752208580
-0.0798,-0.9946,0.0665,635740559752418539
-0.0714,-0.9946,0.0749,635740559752612712
-0.0714,-0.9946,0.0749,635740559752807080
-0.0461,-0.9911,0.1251,635740559753011342
-0.0210,-0.9884,0.1501,635740559753215671
-0.0210,-0.9884,0.1501,635740559753409943
-0.0042,-0.9860,0.1668,635740559753611726
0.0042,-0.9860,0.1668,635740559753815855
0.0042,-0.9860,0.1668,635740559754010486
0.0209,-0.9858,0.1668,635740559754214704
0.0460,-0.9835,0.1750,635740559754409048
0.0460,-0.9835,0.1750,635740559754613182
0.0544,-0.9831,0.1750,635740559754807316
0.0544,-0.9831,0.1750,635740559755011545
0.0711,-0.9820,0.1749,635740559755217176
0.0794,-0.9814,0.1749,635740559755411310
0.0794,-0.9814,0.1749,635740559755615454
0.0794,-0.9814,0.1749,635740559755809725
0.1460,-0.9752,0.1662,635740559756012595
0.1460,-0.9752,0.1662,635740559756206850
0.2040,-0.9699,0.1326,635740559756411177
0.2451,-0.9635,0.1073,635740559756615478
0.2451,-0.9635,0.1073,635740559756809935
0.2533,-0.9614,0.1073,635740559757018943
0.2533,-0.9614,0.1073,635740559757212949
0.2940,-0.9536,0.0656,635740559757407001
0.3261,-0.9445,0.0406,635740559757611093
0.3261,-0.9445,0.0406,635740559757815338
0.3261,-0.9445,0.0406,635740559758005825
0.3261,-0.9445,0.0406,635740559758210074
0.3261,-0.9445,0.0406,635740559758415292
0.3261,-0.9445,0.0406,635740559758614328
0.3262,-0.9453,-0.0089,635740559758808479
0.3262,-0.9453,-0.0089,635740559759012658
0.3262,-0.9447,-0.0337,635740559759205423
0.3260,-0.9430,-0.0667,635740559759405551
0.3260,-0.9430,-0.0667,635740559759609812
0.3096,-0.9447,-0.1080,635740559759814095
0.3096,-0.9447,-0.1080,635740559760008254
0.3095,-0.9438,-0.1162,635740559760212415
0.2853,-0.9492,-0.1330,635740559760408774
0.2853,-0.9492,-0.1330,635740559760618761
0.2852,-0.9480,-0.1412,635740559760813013
0.2608,-0.9524,-0.1580,635740559761007166
0.2608,-0.9524,-0.1580,635740559761211289
0.2442,-0.9523,-0.1828,635740559761416481
0.2361,-0.9544,-0.1829,635740559761610748
0.2361,-0.9544,-0.1829,635740559761814960
0.2117,-0.9600,-0.1833,635740559762009219
0.2117,-0.9600,-0.1833,635740559762213585
0.2117,-0.9600,-0.1833,635740559762406770
